_id,devAddr,deduplicationId,time,deviceInfo.deviceClassEnabled,deviceInfo.tenantName,deviceInfo.tenantId,deviceInfo.deviceProfileId,deviceInfo.applicationId,deviceInfo.deviceName,deviceInfo.applicationName,deviceInfo.devEui,deviceInfo.deviceProfileName,deviceInfo.tags.Description,deviceInfo.tags.Address,deviceInfo.tags.Name,deviceInfo.tags.Location,txInfo.modulation.lora.spreadingFactor,txInfo.modulation.lora.bandwidth,txInfo.modulation.lora.codeRate,txInfo.frequency,fPort,data,fCnt,confirmed,adr,dr,rxInfo[0].rssi,rxInfo[1].rssi,rxInfo[2].rssi,rxInfo[3].rssi,rxInfo[0].metadata.region_config_id,rxInfo[1].metadata.region_config_id,rxInfo[2].metadata.region_config_id,rxInfo[3].metadata.region_config_id,rxInfo[0].metadata.region_common_name,rxInfo[1].metadata.region_common_name,rxInfo[2].metadata.region_common_name,rxInfo[3].metadata.region_common_name,rxInfo[0].nsTime,rxInfo[1].nsTime,rxInfo[2].nsTime,rxInfo[3].nsTime,rxInfo[0].timeSinceGpsEpoch,rxInfo[1].timeSinceGpsEpoch,rxInfo[2].timeSinceGpsEpoch,rxInfo[3].timeSinceGpsEpoch,rxInfo[0].snr,rxInfo[1].snr,rxInfo[2].snr,rxInfo[3].snr,rxInfo[0].context,rxInfo[1].context,rxInfo[2].context,rxInfo[3].context,rxInfo[0].uplinkId,rxInfo[1].uplinkId,rxInfo[2].uplinkId,rxInfo[3].uplinkId,rxInfo[0].location.altitude,rxInfo[1].location.altitude,rxInfo[2].location.altitude,rxInfo[3].location.altitude,rxInfo[0].location.latitude,rxInfo[1].location.latitude,rxInfo[2].location.latitude,rxInfo[3].location.latitude,rxInfo[0].location.longitude,rxInfo[1].location.longitude,rxInfo[2].location.longitude,rxInfo[3].location.longitude,rxInfo[0].gatewayId,rxInfo[1].gatewayId,rxInfo[2].gatewayId,rxInfo[3].gatewayId,rxInfo[0].crcStatus,rxInfo[1].crcStatus,rxInfo[2].crcStatus,rxInfo[3].crcStatus,margin,batteryLevelUnavailable,externalPowerSource,batteryLevel,rxInfo[0].channel,rxInfo[1].channel,rxInfo[2].channel,rxInfo[3].channel,object.co2_status,object.co2,object.temperature_message,object.pressure_message,object.pressure,object.battery,object.co2_message,object.pressure_status,object.humidity_status,object.temperature,object.humidity,object.humidity_message,object.temperature_status,rxInfo[0].gwTime,rxInfo[1].gwTime,rxInfo[2].gwTime,rxInfo[3].gwTime,code,level,context.deduplication_id,description
673b35eee58a707f3ba44072,01f5c530,291de6b8-dc14-460e-a810-8765344745ed,2024-11-15T20:17:08.108+00:00,CLASS_A,Secretaria de ciudad digital y gobierno electronico,52f14cd4-c6f1-4fbd-8f87-4025e1d49242,1d9d2a0d-d5c2-4339-9080-8a9defc094a0,572beadb-725b-4d67-a009-e9ca93cc5fc3,EMS-6993,EM500-CO2-915M,24e124126d376993,EM500-CO2-915M,"Mide la concentración de CO2, además de la temperatura, humedad y presión barométrica.",Cristo de la Concordia,Sensor CO2 ,"-17.3844962748556, -66.1353062672603",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673b35eee58a707f3ba44073,01f5c530,c86ff42d-fe77-44c2-a0ba-6a9525e8844c,2024-11-15T20:17:13.872+00:00,CLASS_A,Secretaria de ciudad digital y gobierno electronico,52f14cd4-c6f1-4fbd-8f87-4025e1d49242,1d9d2a0d-d5c2-4339-9080-8a9defc094a0,572beadb-725b-4d67-a009-e9ca93cc5fc3,EMS-6993,EM500-CO2-915M,24e124126d376993,EM500-CO2-915M,"Mide la concentración de CO2, además de la temperatura, humedad y presión barométrica.",Cristo de la Concordia,Sensor CO2 ,"-17.3844962748556, -66.1353062672603",10,125000,CR_4_5,915200000,85,/wv//wEB,1,FALSE,TRUE,2,-95,-86,-80,-87,au915_0,au915_0,au915_0,au915_0,AU915,AU915,AU915,AU915,2024-11-15T20:16:46.959467259+00:00,2024-11-15T20:16:46.957949952+00:00,2024-11-15T20:16:46.960810551+00:00,2024-11-15T20:16:46.959157843+00:00,1415737051.872s,1415737051.872s,1415737051.872s,1415737051.872s,3.2,8.2,8.8,6.2,Ok6qtA==,y0oVpA==,U7/XbA==,zq33lA==,48225,25314,41038,36298,-66.14173889,-66.1574707,-66.16407776,-66.1649704,-17.38920975,-17.36640167,-17.38713837,-17.39989471,-66.14173889,-66.1574707,-66.16407776,-66.1649704,7076ff0054070994,7076ff00540709a1,7076ff00540709b9,7076ff00540709ba,CRC_OK,CRC_OK,CRC_OK,CRC_OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673b35eee58a707f3ba44075,,cd9560c1-17b5-4f97-b1e2-9aa46aec0175,2024-11-15T20:17:20.519+00:00,CLASS_A,Secretaria de ciudad digital y gobierno electronico,52f14cd4-c6f1-4fbd-8f87-4025e1d49242,1d9d2a0d-d5c2-4339-9080-8a9defc094a0,572beadb-725b-4d67-a009-e9ca93cc5fc3,EMS-6993,EM500-CO2-915M,24e124126d376993,EM500-CO2-915M,"Mide la concentración de CO2, además de la temperatura, humedad y presión barométrica.",Cristo de la Concordia,Sensor CO2 ,"-17.3844962748556, -66.1353062672603",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3,FALSE,FALSE,95.6693,,,,,,,,,,,,,,,,,,,,,,,,,
673b35eee58a707f3ba44076,01f5c530,cd9560c1-17b5-4f97-b1e2-9aa46aec0175,2024-11-15T20:17:20.519+00:00,CLASS_A,Secretaria de ciudad digital y gobierno electronico,52f14cd4-c6f1-4fbd-8f87-4025e1d49242,1d9d2a0d-d5c2-4339-9080-8a9defc094a0,572beadb-725b-4d67-a009-e9ca93cc5fc3,EMS-6993,EM500-CO2-915M,24e124126d376993,EM500-CO2-915M,"Mide la concentración de CO2, además de la temperatura, humedad y presión barométrica.",Cristo de la Concordia,Sensor CO2 ,"-17.3844962748556, -66.1353062672603",7,125000,CR_4_5,915800000,85,/xZhJtN2mTRgAP8JAhD/CgEG,2,FALSE,TRUE,5,-82,-87,-93,-91,au915_0,au915_0,au915_0,au915_0,AU915,AU915,AU915,AU915,2024-11-15T20:16:53.607237281+00:00,2024-11-15T20:16:53.610467122+00:00,2024-11-15T20:16:53.608046140+00:00,2024-11-15T20:16:53.603538451+00:00,1415737058.519s,1415737058.519s,1415737058.519s,1415737058.519s,8.8,8.8,4.5,8.5,VCVFTA==,y6+Dew==,OrQYjA==,zxNlbA==,41806,25570,48737,37066,-66.16407776,-66.1574707,-66.14173889,-66.1649704,-17.387146,-17.36640167,-17.38920975,-17.39989471,-66.16407776,-66.1574707,-66.14173889,-66.1649704,7076ff00540709b9,7076ff00540709a1,7076ff0054070994,7076ff00540709ba,CRC_OK,CRC_OK,CRC_OK,CRC_OK,,,,,3,3,3,3,,,,,,,,,,,,,,,,,,,,,
673b35eee58a707f3ba44078,01f5c530,1c2bff86-d03a-49f0-b4c1-8c3a95c48bac,2024-11-15T20:17:38.714+00:00,CLASS_A,Secretaria de ciudad digital y gobierno electronico,52f14cd4-c6f1-4fbd-8f87-4025e1d49242,1d9d2a0d-d5c2-4339-9080-8a9defc094a0,572beadb-725b-4d67-a009-e9ca93cc5fc3,EMS-6993,EM500-CO2-915M,24e124126d376993,EM500-CO2-915M,"Mide la concentración de CO2, además de la temperatura, humedad y presión barométrica.",Cristo de la Concordia,Sensor CO2 ,"-17.3844962748556, -66.1353062672603",7,125000,CR_4_5,916200000,85,AXVgBX2YAQZzIhwDZxIBBGg8,3,FALSE,TRUE,5,-80,-85,-89,-87,au915_0,au915_0,au915_0,au915_0,AU915,AU915,AU915,AU915,2024-11-15T20:17:11.800295972+00:00,2024-11-15T20:17:11.798870046+00:00,2024-11-15T20:17:11.794671089+00:00,2024-11-15T20:17:11.797484027+00:00,1415737076.714s,1415737076.714s,1415737076.714s,1415737076.714s,10.2,10.5,8.5,9,VTrl7A==,zMUkGw==,0CkGBA==,O8m5JA==,42318,26082,37834,49505,-66.16407776,-66.15747833,-66.1649704,-66.14173889,-17.387146,-17.36639595,-17.3998909,-17.38920975,-66.16407776,-66.15747833,-66.1649704,-66.14173889,7076ff00540709b9,7076ff00540709a1,7076ff00540709ba,7076ff0054070994,CRC_OK,CRC_OK,CRC_OK,CRC_OK,,,,,5,5,5,5,Normal,408,Temperatura calida,Riesgo de mareos y dolores de cabeza,720.2,96,"Condiciones optimas de aire, sin riesgos de salud",Muy baja,Baja,27.4,30,Humedad baja; puede causar sequedad en la piel y garganta,Calido,,,,,,,,
673b35eee58a707f3ba4408a,01f5c530,062f672c-0788-44b3-a081-9c07225ae81b,2024-11-15T20:28:04.358+00:00,CLASS_A,Secretaria de ciudad digital y gobierno electronico,52f14cd4-c6f1-4fbd-8f87-4025e1d49242,1d9d2a0d-d5c2-4339-9080-8a9defc094a0,572beadb-725b-4d67-a009-e9ca93cc5fc3,EMS-6993,EM500-CO2-915M,24e124126d376993,EM500-CO2-915M,"Mide la concentración de CO2, además de la temperatura, humedad y presión barométrica.",Cristo de la Concordia,Sensor CO2 ,"-17.3844962748556, -66.1353062672603",7,125000,CR_4_5,916000000,85,BX2YAQZzIBwDZyMBBGg4,4,FALSE,TRUE,5,-93,-80,-87,,au915_0,au915_0,au915_0,,AU915,AU915,AU915,,2024-11-15T20:27:37.429227139+00:00,2024-11-15T20:27:37.436775092+00:00,2024-11-15T20:27:37.430711171+00:00,,1415737702.358s,1415737702.358s,1415737702.358s,,9.2,9,10,,GsbnRA==,eoV55A==,F2c5LA==,,34502,61774,61630,,-66.16505432,-66.16409302,-66.15745544,,-17.39982986,-17.38713264,-17.36644173,,-66.16505432,-66.16409302,-66.15745544,,7076ff00540709ba,7076ff00540709b9,7076ff00540709a1,,CRC_OK,CRC_OK,CRC_OK,,,,,,4,4,4,,Normal,408,Temperatura calida,Riesgo de mareos y dolores de cabeza,720,,"Condiciones optimas de aire, sin riesgos de salud",Muy baja,Baja,29.1,28,Humedad baja; puede causar sequedad en la piel y garganta,Calido,,,,,,,,
673b35eee58a707f3ba440b0,019a6028,df819fbf-da6b-49d7-87c9-e3740a7972c1,2024-11-15T20:37:32.080+00:00,CLASS_A,Secretaria de ciudad digital y gobierno electronico,52f14cd4-c6f1-4fbd-8f87-4025e1d49242,1d9d2a0d-d5c2-4339-9080-8a9defc094a0,572beadb-725b-4d67-a009-e9ca93cc5fc3,EMS-6962,EM500-CO2-915M,24e124126d376962,EM500-CO2-915M,"Mide la concentración de CO2, además de la temperatura, humedad y presión barométrica.",Plaza 14 de Septiembre,Sensor CO2 ,"-17.39376724156353, -66.15695114772511",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673b35eee58a707f3ba440b1,019a6028,3ceadb9f-32d3-44ca-b592-06b88fd47066,2024-11-15T20:37:37.803+00:00,CLASS_A,Secretaria de ciudad digital y gobierno electronico,52f14cd4-c6f1-4fbd-8f87-4025e1d49242,1d9d2a0d-d5c2-4339-9080-8a9defc094a0,572beadb-725b-4d67-a009-e9ca93cc5fc3,EMS-6962,EM500-CO2-915M,24e124126d376962,EM500-CO2-915M,"Mide la concentración de CO2, además de la temperatura, humedad y presión barométrica.",Plaza 14 de Septiembre,Sensor CO2 ,"-17.39376724156353, -66.15695114772511",10,125000,CR_4_5,915200000,85,/wv//wEB,1,FALSE,TRUE,2,-115,-119,-103,,au915_0,au915_0,au915_0,,AU915,AU915,AU915,,2024-11-15T20:37:10.880818130+00:00,2024-11-15T20:37:10.883280465+00:00,2024-11-15T20:37:10.872337875+00:00,,1415738275.803s,1415738275.803s,1415738275.803s,,3.2,-12.2,7.5,,PPT5LQ==,OZVMBQ==,nLOM/A==,,54726,7103,14671,,-66.16501617,-66.15749359,-66.16408539,,-17.39982986,-17.36639214,-17.38713455,,-66.16501617,-66.15749359,-66.16408539,,7076ff00540709ba,7076ff00540709a1,7076ff00540709b9,,CRC_OK,CRC_OK,CRC_OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673b35eee58a707f3ba440b2,019a6028,9deca20c-06fd-4e7a-943d-c48643d0be16,2024-11-15T20:37:44.734+00:00,CLASS_A,Secretaria de ciudad digital y gobierno electronico,52f14cd4-c6f1-4fbd-8f87-4025e1d49242,1d9d2a0d-d5c2-4339-9080-8a9defc094a0,572beadb-725b-4d67-a009-e9ca93cc5fc3,EMS-6962,EM500-CO2-915M,24e124126d376962,EM500-CO2-915M,"Mide la concentración de CO2, además de la temperatura, humedad y presión barométrica.",Plaza 14 de Septiembre,Sensor CO2 ,"-17.39376724156353, -66.15695114772511",10,125000,CR_4_5,916200000,85,/xZhJtN2liBgBw==,2,FALSE,TRUE,2,-119,-105,,,au915_0,au915_0,,,AU915,AU915,,,2024-11-15T20:37:17.801033353+00:00,2024-11-15T20:37:17.802561232+00:00,,,1415738282.734s,1415738282.734s,,,-9,,,,g6weXA==,nR1MlA==,,,21602,14927,,,-66.14175415,-66.16408539,,,-17.38921165,-17.38713455,,,-66.14175415,-66.16408539,,,7076ff0054070994,7076ff00540709b9,,,CRC_OK,CRC_OK,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,
673b35eee58a707f3ba440b3,019a6028,8da292be-72f0-4291-a77d-a6c8b193329b,2024-11-15T20:38:03.016+00:00,CLASS_A,Secretaria de ciudad digital y gobierno electronico,52f14cd4-c6f1-4fbd-8f87-4025e1d49242,1d9d2a0d-d5c2-4339-9080-8a9defc094a0,572beadb-725b-4d67-a009-e9ca93cc5fc3,EMS-6962,EM500-CO2-915M,24e124126d376962,EM500-CO2-915M,"Mide la concentración de CO2, además de la temperatura, humedad y presión barométrica.",Plaza 14 de Septiembre,Sensor CO2 ,"-17.39376724156353, -66.15695114772511",7,125000,CR_4_5,916000000,85,/wkCEP8KAQY=,3,FALSE,TRUE,5,-118,-118,-106,,au915_0,au915_0,au915_0,,AU915,AU915,AU915,,2024-11-15T20:37:36.078693459+00:00,2024-11-15T20:37:36.091315179+00:00,2024-11-15T20:37:36.084934302+00:00,,1415738301.016s,1415738301.016s,1415738301.016s,,0.5,-2.5,8.2,,hMMV5A==,PnWwRA==,njREHA==,,22114,55750,15695,,-66.14175415,-66.16501617,-66.16408539,,-17.38921165,-17.39982986,-17.38712883,,-66.14175415,-66.16501617,-66.16408539,,7076ff0054070994,7076ff00540709ba,7076ff00540709b9,,CRC_OK,CRC_OK,CRC_OK,,,,,,4,4,4,,,,,,,,,,,,,,,,,,,,,,
